Date,Open,High,Low,Close,Volume,Stoch_%K,Stoch_%D,Williams_%R,A/D Oscillator,Momentum,Disparity Index 7,ROC,positive,negative,neutral,Open_BTC,High_BTC,Low_BTC,Close_BTC,Volume_BTC,Open_ETH,High_ETH,Low_ETH,Close_ETH,Volume_ETH,Open_USDT,High_USDT,Low_USDT,Close_USDT,Volume_USDT,Open_BNB,High_BNB,Low_BNB,Close_BNB,Volume_BNB,Open_STETH,High_STETH,Low_STETH,Close_STETH,Volume_STETH
2021-02-12,9.21479,9.924452,9.079012,9.247012,91484664,88.98533871579298,93.62510540397658,-11.014661284207016,532614320.7755107,75.5481339563224,115.49300554433152,116.85505930381336,2,0,0,47877.035156,48745.734375,46424.976563,47504.851563,76555041196,1783.489136,1861.356934,1744.168945,1843.532593,37905036865,1.000467,1.001843,1.00015,1.001692,147107216422,124.159431,140.243164,121.727066,136.948395,2981627650,1781.827515,1847.514282,1722.891846,1834.777588,1304647
2021-02-13,9.236033,9.499039,8.683009,8.732455,91417968,79.47026254879053,86.78423935245591,-20.529737451209467,452274996.5649008,52.77239813225706,104.1925160692355,89.35838348582551,0,0,1,47491.203125,48047.746094,46392.28125,47105.515625,70250456155,1843.986816,1871.603516,1770.612061,1814.109863,35359490535,1.001702,1.002065,0.99994,1.000828,153120142052,136.927994,138.470535,125.7286,133.452682,2116751635,1834.315918,1855.601929,1763.125122,1812.814331,684740
2021-02-14,8.742989,9.2203,8.559715,8.738896,93500423,79.5811957465446,82.67893233704268,-20.4188042534554,409497794.02423,35.99140375953247,100.76812871063164,65.90190275933135,3,2,0,47114.507813,49487.640625,47114.507813,48717.289063,71248675228,1814.372314,1848.154053,1789.914185,1805.084106,31439114900,1.000803,1.001228,1.000118,1.000746,138353850761,133.47377,138.75676,128.73172,136.426514,2312597445,1812.673706,1844.338135,1789.699463,1806.043213,4674487
2021-02-15,8.724266,9.310638,7.840471,8.861739,109854635,80.48038207802497,79.84394679112002,-19.519617921975023,452266668.2951903,32.626614105350114,100.56369463940035,55.03419355177319,2,0,0,48696.535156,48875.570313,46347.476563,47945.058594,77069903166,1804.676758,1833.830566,1683.906616,1779.791016,38955610883,1.000787,1.000993,0.999694,1.00025,162693579145,136.276779,139.219757,119.734985,129.567886,2414986848,1805.006836,1833.630859,1683.917114,1730.630493,366716
2021-02-16,8.860748,8.980368,7.983557,8.297867,71625205,66.47401310134933,75.51186364197297,-33.525986898650665,425810543.8602121,35.79003558777097,93.43612823407696,29.128276791473468,1,0,0,47944.457031,50341.101563,47201.304688,49199.871094,77049582886,1778.945557,1824.518677,1729.641968,1781.067505,34269369268,1.000263,1.000596,0.999411,1.000403,141032763591,129.739792,133.280609,126.796638,130.056656,1925775294,1743.820923,1839.359009,1704.655518,1776.184814,698271
2021-02-17,8.298689,8.433298,7.544399,8.222577,89948578,60.615831284527296,69.19007548796718,-39.384168715472704,473112984.7743607,22.71654958769266,93.87131376596652,23.060783750291822,1,1,0,49207.277344,52533.914063,49072.378906,52149.007813,80820545404,1781.350098,1853.667603,1736.705811,1848.458252,35955412703,1.000341,1.001272,0.999803,1.00037,139150324868,130.080139,175.11615,127.092117,164.670105,5236224271,1776.186279,1834.355713,1731.011108,1827.822876,515172
2021-02-18,8.232871,9.279175,8.232871,8.980452,77306770,77.58052013193291,68.22345483926983,-22.41947986806708,506277115.05452776,13.91814289791646,102.91770936683125,46.96016418126115,4,0,1,52140.972656,52474.105469,51015.765625,51679.796875,52054723579,1848.206299,1949.903442,1848.206299,1937.449219,28255902969,1.000362,1.000788,0.999531,1.000019,94966568287,165.018829,199.455627,163.274887,195.932632,6110987389,1828.04248,1946.083618,1812.009521,1932.122559,324347
2021-02-19,8.97997,11.680577,8.556981,11.465653,261175711,96.39797149167828,78.19810763604615,-3.6020285083216996,731511604.135327,46.67975728665195,126.79309434924264,71.11732428042659,6,0,0,51675.980469,56113.652344,50937.277344,55888.132813,63495496918,1938.859863,1969.546997,1896.684448,1960.164795,26268814253,1.000045,1.000698,0.999191,1.000201,113649609569,195.987854,342.879608,195.385742,332.616028,17982945189,1931.286743,1959.198364,1890.403198,1950.086182,3392486
2021-02-20,11.478087,11.786737,9.815854,10.002664,140264810,70.35510111504456,81.44453091288524,-29.644898884955428,617836773.5060962,10.256041138359375,108.43861363898516,26.885028382963867,3,0,0,55887.335938,57505.226563,54626.558594,56099.519531,68145460026,1959.902954,2036.286499,1830.531494,1919.534058,34696091102,1.000228,1.000535,0.999496,1.000068,137486320908,332.918457,334.455048,227.913757,255.953735,9680520706,1950.087402,2030.55835,1826.482544,1913.767456,637944
2021-02-21,9.98755,11.640289,9.887047,11.085513,137742366,86.76388673128835,84.5056531126704,-13.236113268711645,668407877.5353975,20.293972492857588,115.96337463432953,41.81663759037755,1,0,0,56068.566406,58330.570313,55672.609375,57539.945313,51897585191,1918.673096,1974.259644,1890.368164,1935.601074,23626547717,1.00008,1.000825,0.999766,1.000332,102446076715,254.539276,307.588104,250.540817,293.923584,8505963719,1913.938843,1959.896606,1885.109741,1925.008301,281135
